snapshot_utc,file,vix,near_days,next_days,near_F,next_F,near_K0,next_K0,near_strikes,next_strikes
2026-08-12 15:24:16.352531+00:00,spx_20260812_1524.parquet,14.8182,29.191,30.191,7758.14,7760.4,7750.0,7760.0,115,165
2026-08-12 15:25:56.541751+00:00,spx_20260812_1525.parquet,14.8134,29.19,30.19,7757.89,7760.1,7750.0,7760.0,115,165
2026-08-12 15:31:54.768380+00:00,spx_20260812_1531.parquet,14.7588,29.186,30.186,7760.75,7762.86,7760.0,7760.0,115,165
